Edges in form: from to edge_char

From Node No. - To Node No. - Char on the Edge
================================================
1068: 24 - 3 - 0
1069: 24 - 3 - 1
1070: 24 - 3 - 2
1071: 24 - 3 - 3
1072: 24 - 3 - 4
1073: 24 - 3 - 5
1074: 24 - 3 - 6
1075: 24 - 3 - 7
1076: 24 - 3 - 8
1077: 24 - 3 - 9
1078: 24 - 3 - A
1079: 24 - 3 - B
1080: 24 - 3 - C
1081: 24 - 3 - D
1082: 24 - 3 - E
1083: 24 - 3 - F
1084: 24 - 3 - G
1085: 24 - 3 - H
1086: 24 - 3 - I
1087: 24 - 3 - J
1088: 24 - 3 - K
1089: 24 - 3 - L
1090: 24 - 3 - M
1091: 24 - 3 - N
1092: 24 - 3 - O
1093: 24 - 3 - P
1094: 24 - 3 - Q
1095: 24 - 3 - R
1096: 24 - 3 - S
1097: 24 - 3 - T
1098: 24 - 3 - U
1099: 24 - 3 - V
1100: 24 - 3 - W
1101: 24 - 3 - X
1102: 24 - 3 - Y
1103: 24 - 3 - Z
1104: 24 - 3 - a
1105: 24 - 3 - b
1106: 24 - 3 - c
1107: 24 - 3 - d
1108: 24 - 23 - e
1109: 24 - 3 - f
1110: 24 - 3 - g
1111: 24 - 3 - h
1112: 24 - 3 - i
1113: 24 - 3 - j
1114: 24 - 3 - k
1115: 24 - 3 - l
1116: 24 - 3 - m
1117: 24 - 3 - n
